Source,Target,Type,Id,Label,timeset,Weight
237760832,6490104,Undirected,71672,,,1
237760832,10873146,Undirected,71673,,,1
237760832,36102348,Undirected,71674,,,1
237760832,36756507,Undirected,71675,,,1
237760832,72958115,Undirected,71676,,,1
237760832,218711918,Undirected,71677,,,1
237760832,116582327,Undirected,71678,,,1
237760832,195488384,Undirected,71679,,,1
237760832,169422154,Undirected,71680,,,1
237760832,484388586,Undirected,71681,,,1
237760832,170628011,Undirected,71682,,,1
237760832,71883143,Undirected,71683,,,1
237760832,202349671,Undirected,71684,,,1
225023203,53093763,Undirected,71685,,,1
225023203,104467153,Undirected,71686,,,1
225023203,130229441,Undirected,71687,,,1
225023203,138226638,Undirected,71688,,,1
225023203,145979409,Undirected,71689,,,1
225023203,168203826,Undirected,71690,,,1
225023203,210386436,Undirected,71691,,,1
225023203,272217186,Undirected,71692,,,1
225023203,326193480,Undirected,71693,,,1
225023203,339992367,Undirected,71694,,,1
225023203,358001736,Undirected,71695,,,1
225023203,559363887,Undirected,71696,,,1
144779682,122770041,Undirected,71697,,,1
144779682,40362866,Undirected,71698,,,1
144779682,56906038,Undirected,71699,,,1
144779682,58199696,Undirected,71700,,,1
144779682,67863405,Undirected,71701,,,1
144779682,70075646,Undirected,71702,,,1
144779682,71883143,Undirected,71703,,,1
144779682,72958115,Undirected,71704,,,1
144779682,82210732,Undirected,71705,,,1
144779682,136208885,Undirected,71706,,,1
144779682,237339816,Undirected,71707,,,1
144779682,135161208,Undirected,71708,,,1
144779682,139118476,Undirected,71709,,,1
144779682,88567308,Undirected,71710,,,1
144779682,207080978,Undirected,71711,,,1
144779682,252875074,Undirected,71712,,,1
144779682,170628011,Undirected,71713,,,1
144779682,184710120,Undirected,71714,,,1
144779682,133913319,Undirected,71715,,,1
144779682,268352745,Undirected,71716,,,1
144779682,152362221,Undirected,71717,,,1
144779682,220200611,Undirected,71718,,,1
144779682,335195107,Undirected,71719,,,1
120695441,7212979,Undirected,71720,,,1
120695441,59818261,Undirected,71721,,,1
120695441,92060343,Undirected,71722,,,1
120695441,92782254,Undirected,71723,,,1
120695441,134863454,Undirected,71724,,,1
120695441,135446161,Undirected,71725,,,1
120695441,138226638,Undirected,71726,,,1
120695441,138669928,Undirected,71727,,,1
120695441,142632180,Undirected,71728,,,1
120695441,143058833,Undirected,71729,,,1
120695441,145993464,Undirected,71730,,,1
120695441,156790498,Undirected,71731,,,1
120695441,172208616,Undirected,71732,,,1
120695441,275146452,Undirected,71733,,,1
173760548,53093763,Undirected,71734,,,1
173760548,66953272,Undirected,71735,,,1
173760548,88620017,Undirected,71736,,,1
173760548,44784586,Undirected,71737,,,1
173760548,47862023,Undirected,71738,,,1
173760548,70075646,Undirected,71739,,,1
173760548,73260737,Undirected,71740,,,1
173760548,73272828,Undirected,71741,,,1
173760548,79619063,Undirected,71742,,,1
173760548,82210732,Undirected,71743,,,1
173760548,90432991,Undirected,71744,,,1
173760548,102318620,Undirected,71745,,,1
173760548,165470998,Undirected,71746,,,1
173760548,115951892,Undirected,71747,,,1
173760548,135892323,Undirected,71748,,,1
173760548,153204015,Undirected,71749,,,1
173760548,169891746,Undirected,71750,,,1
173760548,205445869,Undirected,71751,,,1
184710120,53093763,Undirected,71752,,,1
184710120,130229441,Undirected,71753,,,1
184710120,138226638,Undirected,71754,,,1
184710120,142632180,Undirected,71755,,,1
184710120,151978478,Undirected,71756,,,1
184710120,159945012,Undirected,71757,,,1
184710120,163730915,Undirected,71758,,,1
184710120,167028125,Undirected,71759,,,1
184710120,174582691,Undirected,71760,,,1
184710120,176018059,Undirected,71761,,,1
184710120,177974964,Undirected,71762,,,1
184710120,188988354,Undirected,71763,,,1
184710120,266927028,Undirected,71764,,,1
184710120,280525658,Undirected,71765,,,1
184710120,293400897,Undirected,71766,,,1
184710120,344955930,Undirected,71767,,,1
184710120,363112213,Undirected,71768,,,1
184710120,516746519,Undirected,71769,,,1
59818261,67404479,Undirected,71770,,,1
59818261,40362866,Undirected,71771,,,1
59818261,237339816,Undirected,71772,,,1
59818261,135161208,Undirected,71773,,,1
59818261,139118476,Undirected,71774,,,1
59818261,16132186,Undirected,71775,,,1
59818261,120179319,Undirected,71776,,,1
59818261,135834460,Undirected,71777,,,1
59818261,65875061,Undirected,71778,,,1
59818261,58199696,Undirected,71779,,,1
59818261,54251725,Undirected,71780,,,1
59818261,47862023,Undirected,71781,,,1
59818261,56906038,Undirected,71782,,,1
59818261,54588236,Undirected,71783,,,1
59818261,73815532,Undirected,71784,,,1
59818261,112752674,Undirected,71785,,,1
59818261,71883143,Undirected,71786,,,1
59818261,49887802,Undirected,71787,,,1
59818261,205445869,Undirected,71788,,,1
59818261,44784586,Undirected,71789,,,1
59818261,53607529,Undirected,71790,,,1
59818261,67452079,Undirected,71791,,,1
59818261,121715946,Undirected,71792,,,1
59818261,315719045,Undirected,71793,,,1
59818261,91115645,Undirected,71794,,,1
59818261,145993464,Undirected,71795,,,1
59818261,152288751,Undirected,71796,,,1
59818261,272217186,Undirected,71797,,,1
59818261,275146452,Undirected,71798,,,1
176018059,10873146,Undirected,71799,,,1
176018059,36102348,Undirected,71800,,,1
176018059,194331076,Undirected,71801,,,1
176018059,116582327,Undirected,71802,,,1
176018059,65875061,Undirected,71803,,,1
176018059,112463747,Undirected,71804,,,1
176018059,209041156,Undirected,71805,,,1
176018059,71883143,Undirected,71806,,,1
176018059,133913319,Undirected,71807,,,1
176018059,202349671,Undirected,71808,,,1
144027460,53093763,Undirected,71809,,,1
144027460,130229441,Undirected,71810,,,1
144027460,135193637,Undirected,71811,,,1
144027460,142632180,Undirected,71812,,,1
144027460,159945012,Undirected,71813,,,1
144027460,516746519,Undirected,71814,,,1
144027460,534882288,Undirected,71815,,,1
144027460,557164485,Undirected,71816,,,1
144027460,559363887,Undirected,71817,,,1
